game_season,game_result,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,pf,tov,pts,plus_minus
20,W (+16),31:20,10,20,.500,1,7,.143,0,0,,1,3,4,7,3,1,3,3,21,+22
21,W (+12),37:27,8,15,.533,3,5,.600,1,1,1.000,1,6,7,7,0,0,3,4,20,+16
22,W (+7),37:11,9,22,.409,3,11,.273,8,9,.889,0,3,3,8,2,0,1,1,29,+13
23,W (+6),39:55,11,21,.524,6,10,.600,6,6,1.000,0,7,7,7,1,0,1,6,34,+5
24,L (-7),38:57,9,25,.360,1,10,.100,0,0,,0,7,7,6,4,0,2,3,19,+16
25,W (+5),41:31,14,24,.583,5,12,.417,1,1,1.000,4,3,7,9,4,1,0,4,34,+7
26,W (+20),26:18,5,12,.417,1,5,.200,1,1,1.000,0,2,2,11,3,0,1,1,12,+15
27,L (-10),29:58,10,14,.714,2,5,.400,0,0,,0,2,2,6,3,0,0,7,22,-10
28,L (-14),35:59,5,12,.417,1,5,.200,3,4,.750,2,7,9,7,2,0,3,5,14,-12
29,W (+13),30:32,9,18,.500,4,9,.444,3,4,.750,1,2,3,6,3,0,3,3,25,+18
30,W (+40),26:43,4,7,.571,3,6,.500,2,2,1.000,0,3,3,9,3,0,3,3,13,+28
31,W (+21),33:54,10,18,.556,5,11,.455,7,7,1.000,2,3,5,12,1,0,3,0,32,+25
32,W (+26),31:17,7,14,.500,1,4,.250,4,4,1.000,0,9,9,6,4,0,2,2,19,+15
33,W (+15),34:47,8,17,.471,4,8,.500,1,1,1.000,0,3,3,15,4,0,5,5,21,+12
34,W (+18),35:00,8,15,.533,3,8,.375,4,4,1.000,0,1,1,10,2,0,1,1,23,+10
35,W (+11),29:13,10,16,.625,4,9,.444,3,3,1.000,0,2,2,11,0,0,2,2,27,+17
36,W (+15),32:06,11,19,.579,7,10,.700,3,5,.600,2,3,5,3,2,0,1,3,32,+11
37,L (-12),31:12,6,13,.462,2,6,.333,5,5,1.000,0,3,3,6,2,0,2,6,19,-4
38,W (+25),33:00,9,18,.500,2,8,.250,7,8,.875,3,4,7,11,3,1,0,2,27,+25
39,W (+43),25:14,7,13,.538,2,5,.400,4,4,1.000,1,0,1,8,1,2,2,1,20,+18
40,W (+13),33:39,7,12,.583,3,5,.600,5,6,.833,2,1,3,10,1,0,3,6,22,+23
41,W (+25),29:03,3,11,.273,2,7,.286,2,2,1.000,1,3,4,11,2,0,0,6,10,+20
42,W (+3),33:03,6,16,.375,1,5,.200,9,9,1.000,0,4,4,11,2,0,1,3,22,+6
43,L (-2),42:58,9,23,.391,2,9,.222,1,1,1.000,0,4,4,9,3,0,3,3,21,-3
44,L (-10),33:59,10,22,.455,5,11,.455,7,9,.778,1,6,7,6,3,0,1,2,32,-11
45,W (+19),37:26,9,23,.391,4,9,.444,3,3,1.000,1,3,4,7,2,1,2,1,25,+23
46,W (+25),28:34,6,15,.400,2,6,.333,9,10,.900,0,5,5,9,3,0,2,2,23,+7
47,W (+14),36:57,16,26,.615,10,16,.625,9,11,.818,0,4,4,4,1,0,3,3,51,0
48,L (-8),36:12,8,19,.421,4,9,.444,6,7,.857,0,2,2,9,2,2,3,1,26,-5
49,W (+14),31:19,8,18,.444,5,9,.556,1,3,.333,2,4,6,0,2,0,0,3,22,+19
50,W (+5),31:45,7,20,.350,3,12,.250,3,4,.750,0,5,5,6,3,0,2,1,20,0
51,W (+3),35:30,9,23,.391,2,10,.200,5,5,1.000,2,3,5,8,3,0,1,3,25,0
52,W (+11),31:53,8,17,.471,4,8,.500,5,5,1.000,0,4,4,11,4,0,2,2,25,+22
53,W (+7),33:49,11,18,.611,5,9,.556,5,5,1.000,0,0,0,8,2,0,1,0,32,+1
54,L (-11),33:50,5,17,.294,3,9,.333,5,5,1.000,0,3,3,6,1,0,3,4,18,-10
55,W (+24),25:01,8,13,.615,3,4,.750,3,3,1.000,3,3,6,5,2,0,0,2,22,+33
56,W (+5),37:38,14,22,.636,5,8,.625,4,4,1.000,0,4,4,5,1,0,1,5,37,+8
57,L (-2),29:16,8,16,.500,6,12,.500,4,4,1.000,0,2,2,7,1,0,4,4,26,+1
